Regime,Samples,R²,RMSE,MAE,MAPE (%)
Low_Vol,58066,0.9886860251426697,0.006567415705761555,0.002490429673343897,1.6722217
Normal_Vol,7910,0.9873594641685486,0.0076180001048540245,0.0025763269513845444,1.5144382
High_Vol,2800,0.9992517828941345,0.0030003980821591914,0.002129501663148403,1.1323395
Extreme_Vol,1764,0.765131413936615,0.03578113970000328,0.01195813063532114,6.536317
