,"Model A
(with AR)","Model B
(without AR)"
RMSE,0.00933480934722244,0.05205686338649887
MAE,0.0028357519768178463,0.03134826943278313
R2,0.9761276245117188,0.25759607553482056
QLIKE,-0.9203038811683655,-0.8828384876251221
DA,0.5262397688974483,0.47451681683747166
MAPE,1.896921157836914,19.258913040161133
